, 76, 1444373, 2307460, 1477886, 5229719
, 77, 1352603, 2271357, 1433253, 5057213
, 78, 1455337, 2312459, 1431120, 5198916
, 79, 1559420, 2319369, 1415585, 5294374
, 80, 1416750, 2308293, 1464836, 5189879
, 81, 1465709, 2331044, 1436627, 5233380
, 82, 1418968, 2356612, 1335063, 5110643
, 83, 1465312, 2277768, 1440232, 5183312
, 84, 1438744, 2286073, 1441683, 5166500
, 85, 1341874, 2242982, 1348331, 4933187
, 86, 1484949, 2386663, 1413770, 5285382
, 87, 1445154, 2267645, 1456633, 5169432
, 88, 1414415, 2249404, 1444737, 5108556
, 89, 1192048, 2108701, 1454437, 4755186
, 90, 1422075, 2230374, 1438956, 5091405
, 91, 974942, 1467584, 1540604, 3983130
, 92, 558399, 1409180, 677794, 2645373
, 93, 1386689, 2312309, 1430296, 5129294
, 94, 1467934, 2283420, 1457483, 5208837
, 95, 1451995, 2367920, 1310708, 5130623
, 96, 1469245, 2414331, 1325596, 5209172
, 97, 1425076, 2301251, 1449952, 5176279
, 98, 1567291, 2393601, 1281418, 5242310
, 99, 1540923, 2383293, 1287410, 5211626
